$(terminal-powershell) Ln 20, Words 266, CodeLines 21 , Wordcurrently 0 , Language javascript
$(terminal-powershell) Ln 10, Words 226, CodeLines 13 , Wordcurrently 226 , Language java
$(terminal-powershell) Ln 11, Words 238, CodeLines 14 , Wordcurrently 12 , Language java
$(terminal-powershell) Ln 11, Words 238, CodeLines 14 , Wordcurrently 0 , Language java
$(terminal-powershell) Ln 4, Words 45, CodeLines 5 , Wordcurrently 0 , Language plaintext
$(terminal-powershell) Ln 14, Words 247, CodeLines 15 , Wordcurrently 0 , Language java
$(terminal-powershell) Ln 12, Words 258, CodeLines 16 , Wordcurrently 11 , Language java
$(terminal-powershell) Ln 12, Words 247, CodeLines 15 , Wordcurrently 0 , Language java
$(terminal-powershell) Ln 12, Words 249, CodeLines 15 , Wordcurrently 2 , Language java
$(terminal-powershell) Ln 12, Words 249, CodeLines 15 , Wordcurrently 0 , Language java
$(terminal-powershell) Ln 22, Words 281, CodeLines 24 , Wordcurrently 8 , Language javascript
$(terminal-powershell) Ln 4, Words 45, CodeLines 5 , Wordcurrently 0 , Language plaintext
$(terminal-powershell) Ln 0, Words 78, CodeLines 1 , Wordcurrently 0 , Language csv
$(terminal-powershell) Ln 0, Words 78, CodeLines 1 , Wordcurrently 0 , Language csv
$(terminal-powershell) Ln 14, Words 247, CodeLines 15 , Wordcurrently 247 , Language java
$(terminal-powershell) Ln 8, Words 247, CodeLines 15 , Wordcurrently 0 , Language java
$(terminal-powershell) Ln 8, Words 247, CodeLines 15 , Wordcurrently 0 , Language java
$(terminal-powershell) Ln 4, Words 57, CodeLines 5 , Wordcurrently 12 , Language plaintext
$(terminal-powershell) Ln 4, Words 57, CodeLines 5 , Wordcurrently 0 , Language plaintext
$(terminal-powershell) Ln 23, Words 300, CodeLines 24 , Wordcurrently 27 , Language javascript
$(terminal-powershell) Ln 0, Words 78, CodeLines 1 , Wordcurrently 0 , Language csv
$(terminal-powershell) Ln 16, Words 281, CodeLines 22 , Wordcurrently 8 , Language javascript
$(terminal-powershell) Ln 17, Words 297, CodeLines 22 , Wordcurrently 16 , Language javascript
$(terminal-powershell) Ln 17, Words 273, CodeLines 22 , Wordcurrently 0 , Language javascript
$(terminal-powershell) Ln 22, Words 276, CodeLines 23 , Wordcurrently 29 , Language javascript
$(terminal-powershell) Ln 22, Words 304, CodeLines 24 , Wordcurrently 18 , Language javascript
$(terminal-powershell) Ln 22, Words 286, CodeLines 23 , Wordcurrently 0 , Language javascript
$(terminal-powershell) Ln 22, Words 286, CodeLines 23 , Wordcurrently 0 , Language javascript
$(terminal-powershell) Ln 22, Words 286, CodeLines 23 , Wordcurrently 0 , Language javascript
$(terminal-powershell) Ln 22, Words 286, CodeLines 23 , Wordcurrently 0 , Language javascript
$(terminal-powershell) Ln 22, Words 286, CodeLines 23 , Wordcurrently 0 , Language javascript
$(terminal-powershell) Ln 22, Words 289, CodeLines 23 , Wordcurrently 3 , Language javascript
$(terminal-powershell) Ln 23, Words 296, CodeLines 24 , Wordcurrently 10 , Language javascript
$(terminal-powershell) Ln 22, Words 286, CodeLines 23 , Wordcurrently 0 , Language javascript
$(terminal-powershell) Ln 22, Words 286, CodeLines 23 , Wordcurrently 0 , Language javascript
$(terminal-powershell) Ln 22, Words 286, CodeLines 23 , Wordcurrently 0 , Language javascript
$(terminal-powershell) Ln 22, Words 286, CodeLines 23 , Wordcurrently 0 , Language javascript
$(terminal-powershell) Ln 12, Words 247, CodeLines 15 , Wordcurrently 0 , Language java
$(terminal-powershell) Ln 12, Words 287, CodeLines 15 , Wordcurrently 40 , Language java
$(terminal-powershell) Ln 12, Words 287, CodeLines 15 , Wordcurrently 0 , Language java
$(terminal-powershell) Ln 0, Words 68, CodeLines 1 , Wordcurrently 13 , Language python
